cv_estado,cv_municipio,tortillerias,population,brute_production
25,003,3,29999,61696
30,126,10,32576,61650
30,070,16,18277,61636
21,046,10,6992,60836
08,043,2,3104,60424
15,047,42,69031,60109
20,403,8,2772,59433
31,084,9,6817,59420
29,008,45,13671,58927
20,441,236,7781,58902
07,086,33,21045,58901
15,086,6,32870,58746
16,086,8,15176,58733
12,073,6,18813,58460
28,024,4,4762,58305
12,018,14,13636,57891
15,046,9,17970,57753
28,018,5,8338,57626
20,295,19,9025,57217
07,114,7,17282,57119
29,003,3,6018,56959
16,042,7,13584,56668
01,010,6,18828,56348
01,008,5,8443,55868
13,035,7,11429,55398
08,030,1,8998,54987
15,123,27,27781,54861
13,042,15,11209,54827
30,100,7,22585,54150
16,004,7,14684,53931
20,232,4,21514,53830
07,031,13,111554,53677
30,194,9,10851,53620
20,375,23,10120,53586
16,011,6,10653,53532
22,008,6,35554,53233
31,013,9,9143,52780
14,014,8,8276,52749
12,071,22,28089,52700
12,051,36,34728,52625
32,045,5,8215,52410
32,016,14,22346,52408
30,150,22,11211,52096
13,018,11,22402,51953
13,072,16,10248,51868
20,190,6,22356,51696
20,143,13,8959,51679
24,056,19,15528,51621
07,001,8,16814,51377
14,075,4,3762,51152
07,091,15,12170,51098
16,061,9,22628,51073
12,032,52,36586,50790
13,054,39,32773,50769
20,103,7,5651,50740
12,010,5,26341,50464
15,102,6,15391,50450
30,152,3,12242,50273
19,007,8,15470,50263
30,022,25,20063,49973
01,004,8,15042,49793
21,172,11,25793,49654
26,066,6,9185,49253
15,098,11,5111,48503
20,540,43,7059,48325
31,055,13,6285,48252
20,026,11,8481,48220
16,021,19,12163,48144
15,061,10,8895,48084
20,055,4,3530,47989
08,028,0,6458,47588
15,032,7,33455,47542
13,058,32,16865,47528
30,117,9,22561,47434
07,016,4,17140,47423
18,003,4,11188,47254
21,109,8,20618,47235
31,066,7,3833,46926
21,212,16,19438,46899
17,005,6,9471,46879
12,056,25,44079,46611
20,526,43,15986,46451
21,157,21,11328,46405
14,090,10,7051,46251
16,044,14,13275,46249
16,072,11,13550,46233
31,032,15,15571,46149
20,150,67,11893,46111
16,100,19,13556,45995
16,078,16,12618,45876
16,099,14,16305,45751
11,038,25,11641,45571
17,016,22,16858,45287
16,013,7,9212,45163
30,135,23,20245,45025
07,047,4,18683,44909
28,019,8,17333,44872
24,012,8,21039,44848
26,054,0,492,44751
16,041,17,14766,44719
31,033,24,19072,44675
31,027,8,8133,44473
12,059,13,30470,44439
30,129,43,17888,44322
31,067,9,9276,44285
13,011,13,19452,44160
21,173,28,5689,43938
20,447,6,15076,43777
28,004,5,9003,43603
13,079,3,7320,43560
21,171,11,3365,43263
12,033,27,14393,43185
20,262,0,1043,43005
10,017,7,9626,42913
10,034,3,26368,42809
04,007,8,8352,42586
20,177,7,9441,42296
20,475,24,9653,42018
16,001,26,10987,41999
30,006,2,20973,41996
19,029,3,6914,41894
14,054,3,5499,41764
28,029,5,12962,41683
12,019,32,14456,41655
13,065,22,11112,41636
31,006,9,8637,41630
21,087,24,12662,41619
30,099,12,16898,41437
20,439,22,24318,41327
13,073,22,36382,41276
16,046,13,13604,41270
21,082,25,8093,40895
16,067,4,17159,40475
16,104,13,16991,40467
08,067,3,5105,40088
08,055,5,16785,40076
14,068,11,11623,40004
24,023,11,15707,39898
30,101,15,33941,39862
30,185,8,4879,39738
32,031,5,8929,39681
16,016,15,20492,39633
14,007,6,8896,39490
14,012,3,4115,39337
14,080,0,5755,38981
20,339,14,3989,38977
13,036,14,9364,38792
14,027,3,17322,38558
20,005,32,14751,38472
32,054,6,18490,38431
29,024,78,25128,38302
15,049,43,12840,38005
11,043,7,19820,37965
21,151,36,8016,37916
14,052,2,5515,37832
30,060,17,15286,37766
30,078,18,12713,37717
30,033,11,23483,37502
13,037,9,21623,37325
21,138,59,10777,37320
13,032,25,10933,37259
30,199,19,10720,37220
10,016,5,18488,37129
24,017,3,25985,37088
16,092,9,14274,36822
17,014,9,9456,36601
21,065,71,19040,36540
31,082,5,3557,36521
20,248,50,14252,36512
29,001,46,9875,36365
16,049,7,17427,36312
16,005,5,10768,36250
14,057,3,3755,36235
32,047,6,5506,36106
08,013,0,10587,36055
07,049,11,20349,36008
30,111,11,16120,35931
07,041,24,41266,35874
13,022,9,13830,35819
30,210,3,27346,35809
21,155,3,5420,35779
07,044,9,24517,35717
11,036,6,6670,35713
12,064,13,11495,35462
22,015,5,8865,35445
24,003,5,47423,35131
32,040,5,21533,35041
16,060,7,9599,35022
12,054,16,28009,34916
18,009,3,34300,34674
30,081,41,21150,34658
31,065,2,1839,34376
08,007,4,17672,34311
30,095,9,16387,34197
21,073,21,8679,34007
13,053,15,18137,33955
06,006,2,5300,33912
12,062,5,21306,33765
30,036,10,9416,33762
10,028,3,11855,33652
05,014,3,9935,33574
20,550,123,5076,33551
29,050,85,9880,33426
32,052,8,18269,33209
19,051,3,4113,33207
30,188,5,16403,33200
19,036,1,7095,33195
29,004,17,15935,33063
12,017,12,14707,32943
14,122,6,6685,32860
07,103,11,28137,32787
20,337,6,5602,32567
20,023,72,18428,32255
15,026,43,27551,32242
13,060,9,17206,32119
11,034,4,5120,32067
32,011,4,3013,31668
13,017,9,12271,31615
26,069,0,6046,31591
24,034,35,14958,31575
21,137,32,9185,31545
07,066,12,20589,31507
16,022,15,21723,31279
14,032,5,5814,31095
13,044,4,15666,31095
21,048,48,18762,30965
30,122,28,15909,30962
20,520,6,7153,30872
16,057,4,7799,30630
24,043,17,9024,30452
20,185,9,8680,30411
07,083,15,17125,30380
10,015,4,12411,30257
30,035,16,11081,30247
31,039,6,3803,30176
31,007,7,6811,30144
31,001,4,6356,30081
14,060,4,6034,29987
05,037,0,6289,29604
20,427,24,15387,29383
30,186,5,6763,29255
30,157,18,18663,29252
16,008,3,23536,29225
07,035,7,12665,28917
30,172,33,20199,28715
32,004,3,4372,28596
22,002,3,27093,28540
15,089,14,10578,28463
15,027,12,9676,28366
10,021,8,10473,28362
26,014,1,3560,28332
20,546,32,5638,28138
31,069,7,8449,27982
07,073,9,9002,27942
15,124,22,91345,27854
07,080,4,38143,27785
20,277,6,12525,27760
30,167,20,13949,27759
30,119,9,5250,27661
32,053,13,12893,27650
26,027,1,8639,27509
31,036,8,7257,27500
07,062,3,17067,27348
12,016,2,13025,27286
21,069,35,25373,27263
30,127,7,23648,26823
31,029,4,5905,26757
20,325,12,10491,26757
13,014,29,16962,26746
29,027,68,11763,26686
14,095,8,9088,26511
30,090,8,10376,26500
21,005,12,2881,26497
21,175,47,9807,26496
14,038,4,4323,26479
26,056,3,8382,26321
12,013,15,14429,26268
21,099,16,18954,26244
32,008,9,11915,26190
30,054,11,11683,26008
31,057,6,7461,26002
21,020,27,6426,25938
16,094,4,6890,25927
20,459,13,4479,25857
20,134,9,26838,25852
20,166,7,11019,25847
12,049,10,11558,25841
29,017,59,9740,25787
08,008,1,14362,25720
08,024,2,3937,25653
15,080,5,25809,25634
29,058,29,7992,25553
14,117,3,4152,25550
13,064,7,9940,25549
30,062,15,18601,25538
05,011,7,11682,25510
15,007,5,22868,25270
31,037,8,4841,25176
21,168,20,6580,25066
07,116,4,9856,24866
21,075,68,11868,24642
16,032,3,14555,24434
20,131,38,10500,24417
13,025,24,22621,24411
30,209,35,14297,24399
32,030,3,2529,24302
21,195,18,24217,24240
32,006,6,8239,24199
21,025,14,8153,24144
12,042,29,17702,24130
11,040,10,18175,24120
29,022,13,5711,23978
17,027,10,10789,23947
24,047,1,9779,23749
13,027,22,23563,23673
31,035,8,5697,23665
08,006,2,6011,23606
20,453,6,3915,23556
13,049,5,18244,23505
07,023,9,76941,23426
16,048,3,5506,23389
31,070,6,3930,23342
20,063,11,3882,23317
07,076,4,25187,23219
30,182,8,16311,23094
30,063,4,14688,23051
20,066,11,5353,22991
14,115,4,5638,22961
11,045,3,11560,22907
14,061,3,18084,22864
05,012,1,2091,22849
10,009,1,10149,22845
10,002,2,4122,22735
21,058,13,19257,22728
15,038,7,10308,22686
20,141,13,7232,22532
08,023,0,5892,22504
21,162,13,4244,22413
13,019,6,17436,22231
21,016,4,7848,22082
10,014,3,33396,22039
24,052,6,10174,22027
12,025,8,15115,21881
21,152,32,11706,21828
15,125,19,10216,21767
15,034,27,9369,21718
21,044,16,15367,21708
21,112,8,9382,21622
31,075,9,6205,21603
21,217,12,20529,21550
31,025,11,4941,21396
31,062,6,4589,21201
20,539,17,5025,21141
07,100,2,31723,21111
13,007,22,11294,21096
21,188,30,17028,21065
32,033,2,4563,21023
20,499,10,2021,20962
12,074,20,22587,20898
15,083,12,11206,20824
21,026,56,13730,20791
20,307,6,9594,20764
20,174,7,3759,20680
16,037,4,7983,20592
26,006,0,3037,20468
29,016,55,6791,20293
20,437,8,9663,20234
30,067,40,16418,20205
21,111,28,18435,20062
20,090,4,5867,19971
20,084,7,3893,19862
16,031,2,16218,19754
18,013,7,7510,19742
07,005,4,21275,19468
20,348,4,8246,19444
30,083,16,49820,19287
07,043,3,10176,19050
24,004,0,4436,18958
12,060,9,13128,18773
26,001,2,2637,18769
21,209,12,8220,18659
12,008,13,8390,18596
29,020,17,8474,18578
31,047,6,5250,18535
19,008,2,3773,18322
30,055,12,12626,18158
32,018,2,4306,18135
32,001,2,6314,18120
30,149,17,32596,17974
31,100,5,3469,17899
26,016,2,5275,17877
07,042,4,10239,17836
26,020,2,5347,17793
22,003,3,12910,17685
15,105,6,32997,17666
31,078,4,3683,17617
20,198,35,28142,17602
20,483,13,9542,17588
21,072,7,15689,17540
08,039,3,4025,17491
24,014,4,17015,17474
30,002,9,3085,17425
20,537,9,6747,17368
19,024,2,5942,17333
31,026,3,3489,17181
31,023,10,4530,17082
12,044,21,11376,17033
29,056,26,6857,16909
30,088,11,4940,16872
14,049,1,9545,16848
16,109,2,3247,16847
12,070,15,7079,16846
31,044,10,6571,16793
21,103,6,6009,16789
22,013,2,18441,16756
31,009,6,4696,16714
24,041,6,19312,16694
14,010,7,6655,16577
26,021,0,1663,16551
19,002,2,3443,16515
20,305,42,3944,16469
19,030,2,3558,16397
14,104,2,4435,16388
30,136,5,7023,16256
20,500,9,7883,16206
29,052,37,5660,16203
07,085,14,9740,16135
30,147,1,21380,15952
21,215,10,4599,15941
07,018,10,8444,15935
21,033,12,4763,15885
30,057,5,13190,15762
20,505,17,7554,15720
21,022,35,11684,15718
30,050,23,15492,15705
14,062,2,3574,15634
16,054,5,8091,15611
20,269,2,4127,15590
30,104,23,17333,15492
07,093,5,40268,15353
31,045,4,2449,15270
31,068,3,3126,15219
08,035,2,10953,15184
20,549,18,11319,15155
30,197,4,11357,15142
26,068,0,1254,14989
30,159,2,23479,14930
20,462,3,4350,14905
15,017,5,8864,14869
20,414,13,10794,14868
05,021,1,6335,14843
20,052,10,6182,14785
31,024,6,3148,14784
29,049,12,5064,14693
21,006,5,14754,14688
29,046,4,4146,14653
12,037,15,6603,14624
07,111,13,36489,14547
20,091,13,4879,14466
20,513,19,8394,14465
20,171,9,18478,14378
12,081,7,10522,14371
20,314,3,1693,14339
24,044,3,7902,14316
20,377,1,10975,14231
14,106,4,4234,14196
30,198,3,6784,14184
20,310,50,6822,14168
21,070,2,6643,14153
15,077,3,6272,14144
20,491,0,4170,14118
30,113,1,4507,13980
16,080,7,18427,13976
20,398,32,4406,13866
32,046,2,7090,13852
29,037,35,8224,13805
20,247,3,1467,13798
26,051,3,5226,13795
29,054,23,5045,13727
12,026,7,9166,13711
20,178,1,6287,13651
19,040,0,1034,13643
20,153,28,4733,13623
29,030,22,13775,13621
05,029,1,2314,13610
20,452,67,4220,13596
20,421,6,4442,13596
20,531,177,2333,13557
14,011,4,5400,13542
20,309,3,10371,13483
29,040,11,9777,13433
20,406,0,20584,13429
21,057,7,7463,13356
07,055,4,5033,13348
30,025,21,25456,13336
12,005,8,6637,13229
07,104,14,14009,13199
17,023,6,6636,13110
24,039,11,14274,12953
20,075,7,2671,12938
12,004,3,18971,12891
13,015,5,18427,12796
21,147,20,5944,12788
30,176,7,4632,12726
31,012,7,3701,12618
21,078,6,13982,12605
15,119,12,16365,12602
20,381,2,2606,12528
20,239,1,1077,12512
28,023,2,4530,12371
31,043,5,2761,12271
13,068,6,14037,12028
31,087,5,4725,12000
20,280,6,2394,11989
29,029,9,11048,11930
24,006,0,9716,11884
07,070,3,13201,11866
10,033,3,6761,11859
21,089,34,12997,11858
15,078,3,9111,11748
20,031,1,7362,11724
21,002,12,8916,11716
07,084,3,8065,11697
13,055,12,16014,11633
28,042,2,6316,11581
30,154,5,12814,11541
20,136,3,11575,11438
26,057,0,1604,11411
31,097,7,3464,11374
30,043,7,18713,11359
26,013,1,1646,11311
30,005,4,5129,11294
31,074,7,3609,11254
07,029,6,5018,11241
30,139,4,5908,11192
26,032,0,962,11158
20,130,28,5098,11155
07,014,8,18559,11100
21,060,25,6946,11050
22,010,1,19929,11030
20,561,12,2683,10976
29,057,19,4349,10972
14,069,1,8691,10971
07,105,14,14089,10954
13,047,4,5049,10905
07,006,6,29547,10880
21,185,11,8404,10844
16,018,2,8952,10814
20,472,6,3198,10804
14,004,6,5545,10792
08,012,2,8795,10773
12,043,2,18976,10764
08,038,2,4953,10641
05,016,1,1835,10623
16,096,5,7890,10619
29,012,3,8399,10605
20,037,2,4402,10605
32,058,3,2821,10595
21,181,10,6269,10529
24,029,7,21347,10496
16,059,2,8240,10469
30,027,3,16692,10454
20,070,2,6629,10446
28,034,1,9331,10311
31,034,6,6061,10280
20,308,26,2839,10257
31,020,3,4113,10143
30,168,11,14648,10132
20,300,3,6468,10057
20,519,5,2790,10055
20,038,5,2112,10047
30,012,1,7487,10023
21,203,27,6049,10019
20,371,1,954,10014
07,110,16,6734,9997
29,045,16,5687,9934
31,105,5,2868,9922
31,046,8,2888,9920
31,021,10,7952,9838
21,148,12,8040,9837
07,028,9,5405,9811
08,063,2,6211,9770
20,176,4,2808,9746
31,015,3,4966,9745
31,106,4,2137,9727
20,197,27,3047,9726
14,028,1,2171,9629
15,066,4,4864,9607
29,051,11,3581,9597
31,008,6,4095,9524
21,182,21,4833,9437
20,360,34,3592,9379
29,011,12,4285,9328
20,077,3,3568,9265
08,061,1,3662,9254
31,081,5,3100,9245
14,099,10,9591,9221
16,007,4,3218,9175
10,031,6,7003,9150
30,203,13,13434,9145
20,013,5,2785,9097
21,098,4,6218,9062
31,099,6,3782,8933
16,039,5,7925,8842
20,440,0,896,8840
20,020,2,3860,8811
20,420,0,1680,8804
31,042,5,5502,8792
12,002,16,25027,8760
26,050,0,1599,8742
20,299,4,1108,8736
07,053,1,7793,8728
31,049,8,3269,8698
24,038,5,15838,8676
30,190,2,2177,8642
21,068,9,7718,8640
07,117,3,6900,8632
20,035,1,544,8626
21,012,26,6288,8560
08,064,1,1869,8399
07,115,6,11451,8375
26,037,1,1350,8370
12,024,5,7007,8367
30,042,11,5728,8362
20,156,5,3478,8348
20,358,5,1854,8302
21,079,14,5306,8287
32,003,1,2692,8234
21,204,32,7514,8215
20,012,21,9860,8209
20,484,3,4207,8197
20,112,23,2439,8177
28,005,2,4589,8133
08,016,2,3982,8126
29,047,3,2769,8124
21,083,1,25326,8117
21,210,3,5608,8105
05,005,0,1808,8103
20,523,2,1609,8098
20,088,1,2851,8095
20,343,4,1849,8091
16,026,2,5271,8034
10,011,1,5280,7955
21,141,4,3395,7951
21,113,4,4585,7925
31,103,5,3236,7918
20,509,1,10547,7913
20,533,2,2191,7900
21,176,5,8401,7876
21,202,6,12249,7824
30,024,3,14613,7810
21,031,15,2964,7796
20,244,4,3669,7792
20,392,1,6678,7791
30,084,3,5727,7786
20,356,32,1993,7785
12,065,3,7096,7775
26,067,0,1738,7770
30,195,0,5163,7721
20,208,0,7611,7714
10,027,2,5947,7698
14,019,1,6820,7693
19,043,2,2628,7572
30,200,3,12379,7465
21,201,6,3187,7426
20,135,18,7187,7407
31,030,7,3540,7355
07,060,4,11878,7347
21,084,6,6811,7338
31,051,3,3071,7314
31,072,2,1876,7313
07,011,2,19281,7291
31,014,3,1595,7290
18,005,3,11400,7290
31,031,3,2772,7221
19,028,1,1594,7221
20,302,4,4136,7220
08,058,1,2983,7219
21,029,6,3791,7210
31,054,4,2755,7178
13,045,7,8963,7161
20,380,12,1972,7156
21,145,11,13534,7144
20,530,3,3385,7142
10,006,2,10629,7052
30,179,4,3965,7047
29,035,30,5589,6985
30,079,15,10724,6970
14,034,2,2082,6908
07,007,1,8728,6906
21,150,9,7060,6885
21,059,5,2468,6795
20,085,7,22565,6775
30,202,2,13866,6756
20,250,1,1181,6650
32,012,4,8104,6647
20,263,3,3483,6644
08,015,0,1681,6636
05,008,0,2901,6620
05,008,0,2901,6620
20,312,8,11555,6592
24,033,2,12043,6588
20,034,1,1425,6571
31,063,6,5008,6561
21,107,12,11641,6554
21,200,6,3911,6527
13,080,17,23607,6519
12,020,3,18855,6469
14,089,2,3511,6463
20,516,2,4571,6453
20,242,4,11361,6421
32,028,2,2584,6407
20,243,13,1742,6373
13,026,2,12779,6311
20,345,4,3968,6302
21,122,6,9426,6262
20,064,3,7390,6260
12,076,3,32792,6229
31,073,17,4447,6220
21,160,3,3121,6208
20,188,8,9494,6200
07,026,7,36111,6199
21,183,13,19826,6190
30,166,1,9004,6187
20,193,4,2546,6183
20,296,2,929,6172
12,031,6,6301,6170
20,449,9,3359,6147
21,130,9,3416,6104
14,056,2,2517,6089
20,367,9,4543,6075
21,039,3,9212,6058
21,093,0,7767,6044
30,177,1,10299,6029
08,054,2,8012,5985
21,184,3,6406,5972
20,333,3,2603,5959
21,159,12,4024,5938
12,069,6,12240,5920
08,014,2,2284,5865
16,027,6,5166,5849
31,104,3,14802,5803
07,063,3,3792,5786
20,102,7,4405,5783
31,077,4,2606,5755
20,567,2,3133,5754
21,178,3,17115,5733
20,082,2,3952,5722
26,059,0,1998,5721
21,158,7,6772,5717
13,078,7,19067,5711
15,041,4,6629,5704
07,067,4,10870,5697
20,304,1,851,5668
20,410,1,3461,5624
21,066,10,6276,5613
12,080,6,7166,5595
12,078,1,18778,5592
20,237,1,1557,5573
29,055,8,2833,5560
20,535,0,2976,5560
13,040,4,10452,5559
21,139,9,3554,5519
05,015,0,1599,5517
20,359,0,809,5489
21,128,28,8087,5488
21,023,9,8408,5465
12,079,4,15678,5456
20,387,6,2858,5416
32,027,0,2662,5408
19,003,1,1374,5386
21,187,4,5415,5359
30,037,38,7810,5309
21,037,3,2339,5301
20,053,4,1221,5301
20,368,7,1816,5287
30,180,5,11276,5276
30,163,2,5222,5276
14,081,1,3726,5231
21,101,5,3598,5225
29,009,13,5066,5224
19,035,0,862,5220
08,057,1,2290,5214
07,045,2,5478,5172
20,009,4,6720,5099
20,078,2,1092,5082
28,026,3,3514,5036
26,040,0,2051,5030
30,165,1,8249,5015
21,014,17,5004,5010
21,061,4,12575,4960
31,005,3,2053,4940
28,031,1,1795,4918
21,131,3,872,4904
08,049,2,2849,4882
10,029,1,2181,4877
07,050,1,4974,4869
30,001,3,8223,4858
07,112,7,29016,4814
30,019,3,5995,4807
07,039,8,22536,4786
31,094,5,4746,4782
20,275,2,7293,4780
08,042,0,1601,4764
20,415,3,4888,4747
32,021,2,4584,4722
18,019,0,13600,4705
21,081,1,3695,4694
21,052,3,1227,4678
20,061,2,2568,4669
20,284,94,3160,4624
21,192,5,5983,4612
20,016,5,8531,4596
20,207,1,17100,4539
20,556,0,249,4537
20,285,7,3386,4508
21,062,6,4594,4503
20,049,0,1141,4493
21,049,11,15767,4480
20,560,16,6174,4463
20,051,185,4368,4463
08,026,1,3209,4438
08,051,0,7546,4434
20,393,19,3604,4430
31,016,5,2818,4392
20,133,0,3974,4387
26,034,0,1154,4379
32,035,2,15607,4370
20,568,5,1514,4361
07,036,2,7272,4355
32,002,2,5005,4336
20,366,7,3986,4321
21,096,6,2633,4305
20,286,4,3220,4294
12,041,2,29599,4277
21,055,3,4699,4259
28,028,0,3381,4256
21,097,4,2216,4220
20,086,4,874,4198
20,213,2,3628,4191
20,507,11,3224,4188
30,156,0,5584,4186
21,036,2,14205,4173
20,125,2,11813,4126
07,098,18,6375,4108
31,018,3,3035,4060
31,090,6,6833,4051
30,007,5,6224,4050
20,266,2,8481,4026
20,522,1,1213,4015
20,470,0,4693,3977
31,088,5,1977,3942
08,066,2,8200,3938
21,167,1,10240,3924
20,200,2,3924,3907
20,446,1,6551,3885
21,042,1,3062,3843
21,092,14,5223,3840
07,082,2,12269,3831
20,369,2,1847,3822
20,132,3,1245,3772
07,025,2,7332,3767
20,164,2,3215,3765
20,116,4,4052,3764
20,104,2,2508,3761
20,474,5,3260,3757
20,076,2,3331,3745
07,033,1,7000,3742
20,450,0,12313,3725
20,128,4,1230,3714
10,019,1,5208,3670
26,062,1,1121,3661
28,006,4,7636,3660
20,105,0,6650,3647
20,486,6,2469,3621
20,065,0,1182,3614
24,026,5,9390,3613
20,123,4,2705,3588
20,169,3,3684,3582
13,043,8,6614,3579
20,273,2,3497,3570
20,072,10,6579,3543
21,213,15,12530,3525
08,046,0,8343,3519
20,508,3,1521,3515
30,212,7,12409,3513
20,046,3,3313,3509
20,113,3,2832,3485
20,126,5,5024,3471
26,028,0,1150,3461
20,349,55,1976,3438
21,105,4,4825,3431
32,041,1,2710,3424
12,047,1,6978,3418
20,497,2,4122,3416
26,063,0,1365,3412
30,162,3,6247,3408
20,301,4,1544,3402
20,279,1,2911,3398
30,146,1,3502,3387
20,158,0,2231,3378
20,022,2,866,3346
28,008,0,4423,3343
21,116,3,21275,3293
20,347,0,3664,3286
30,184,1,7151,3272
20,202,5,4531,3250
20,007,11,2612,3241
20,378,6,3615,3223
21,127,6,3777,3219
20,194,5,1231,3219
21,206,2,4224,3216
30,031,2,16313,3212
20,297,0,2150,3171
30,008,2,9691,3165
11,006,0,5610,3159
21,056,2,1237,3146
20,219,56,2565,3140
30,020,1,9824,3129
21,120,6,5110,3127
20,254,0,3308,3094
20,562,7,1458,3071
20,407,22,8506,3067
20,272,17,6161,3061
20,384,3,4514,3057
20,225,7,5955,3011
20,548,3,1734,2935
20,195,2,1256,2925
31,086,5,2226,2916
20,259,8,2465,2908
20,206,4,2357,2894
20,071,7,3060,2887
16,081,2,8704,2879
19,015,0,1716,2875
07,088,1,2235,2864
07,038,2,21507,2862
07,024,6,10817,2859
21,077,3,5734,2837
20,255,8,2086,2836
31,092,12,6665,2831
20,095,0,3990,2809
10,003,1,4530,2798
20,235,3,3624,2755
20,029,2,4263,2727
24,002,3,8186,2717
20,058,0,13435,2716
21,088,2,4598,2713
20,192,4,1442,2705
20,252,3,2116,2697
30,017,2,4027,2694
30,170,1,10627,2690
20,209,0,711,2673
21,007,3,3403,2663
20,271,2,3245,2648
20,528,1,1213,2647
20,268,3,916,2640
26,060,0,2703,2630
30,171,3,5292,2625
20,400,8,1632,2601
07,090,2,4121,2581
20,495,1,2884,2572
20,460,2,5413,2571
14,071,1,3176,2565
20,257,1,1091,2553
20,431,2,1774,2548
20,336,1,2267,2536
26,049,2,3356,2530
20,117,0,2422,2512
20,165,2,1511,2479
28,010,0,2011,2477
20,412,2,3286,2477
21,121,1,1132,2440
16,101,2,9166,2438
20,108,2,4289,2432
14,031,0,3771,2417
26,061,0,1284,2406
20,544,4,1106,2403
32,043,1,1360,2397
20,340,2,1878,2383
26,007,0,625,2344
30,187,4,5696,2336
30,029,3,12929,2334
20,527,0,2829,2334
20,226,14,2708,2330
20,363,8,2633,2329
20,417,3,9240,2312
20,386,1,17897,2292
21,146,2,874,2290
20,260,2,2488,2267
30,153,5,5873,2256
20,236,4,1525,2250
26,010,0,1467,2236
20,163,7,1606,2231
21,050,7,24148,2203
20,344,4,2613,2202
20,538,0,705,2187
31,022,11,4162,2171
24,030,0,5466,2163
20,543,0,5561,2147
20,402,6,1083,2123
30,096,1,1546,2122
20,214,3,2313,2122
20,081,2,1914,2117
20,004,2,1012,2115
20,306,4,3903,2102
20,251,9,1180,2102
20,456,4,1686,2097
20,534,1,3964,2084
21,196,4,1649,2077
20,249,9,3475,2077
20,468,3,13568,2075
31,064,3,1619,2050
13,034,2,9843,2049
30,103,22,11808,2044
20,191,1,320,2044
13,020,0,2800,2025
20,160,1,1449,2024
30,041,1,2144,2021
10,025,1,3433,1985
26,005,0,1253,1978
20,496,0,2171,1975
20,455,2,2748,1967
20,062,3,586,1967
31,010,2,2407,1946
20,372,2,1886,1943
20,168,3,977,1915
20,303,5,1172,1898
20,231,0,3026,1895
20,036,2,5285,1888
20,246,0,620,1886
20,435,0,3505,1882
32,015,1,1609,1864
21,126,8,5826,1861
20,098,1,4427,1840
20,008,1,842,1840
20,547,6,951,1837
20,554,3,5598,1831
20,100,1,497,1829
26,031,0,1350,1826
20,464,5,480,1820
20,396,1,3252,1819
21,216,3,2639,1802
20,229,0,7048,1800
30,056,8,6752,1794
20,080,1,1312,1764
20,180,6,2325,1748
20,137,0,3427,1747
20,504,4,1652,1734
26,015,0,1454,1733
21,193,1,6242,1732
20,149,2,1509,1719
20,362,6,1496,1711
21,032,0,1283,1703
20,391,0,3356,1696
21,133,2,651,1690
20,265,9,6608,1688
20,111,5,4394,1688
20,096,2,772,1680
20,040,3,5995,1676
07,022,4,14027,1675
13,033,1,3193,1672
20,069,1,2446,1668
21,021,5,1228,1665
20,258,10,744,1618
20,485,4,3031,1616
20,328,2,1173,1613
20,434,1,4651,1604
21,100,2,9707,1588
20,172,2,430,1584
08,041,1,1921,1584
20,089,4,2152,1574
20,179,1,1462,1571
20,056,3,1451,1566
20,351,0,2623,1563
21,009,5,2008,1559
20,118,20,2470,1534
20,175,0,1724,1523
26,011,1,1646,1522
20,438,0,1754,1512
07,113,0,5072,1511
21,080,2,2833,1505
07,118,1,4545,1505
20,536,1,493,1487
20,313,0,834,1484
20,170,0,3849,1484
20,317,0,1405,1466
20,473,0,1394,1449
20,444,0,461,1449
30,076,1,13575,1445
12,063,2,9967,1422
30,064,12,3889,1420
20,186,1,605,1417
21,011,6,1770,1415
20,374,4,1470,1403
05,001,1,1070,1400
21,165,1,1141,1397
20,342,1,2079,1389
28,020,0,2579,1384
20,283,1,1042,1384
20,357,5,908,1381
20,425,0,2209,1376
20,144,1,1110,1373
20,216,2,1331,1367
31,071,3,1689,1366
26,009,1,784,1358
20,326,0,4957,1352
12,009,0,5706,1346
20,506,1,782,1338
07,119,1,3245,1332
26,065,0,1735,1313
20,167,0,2094,1313
20,424,0,3992,1309
20,092,1,1439,1304
20,429,0,1524,1299
20,159,0,5449,1262
19,023,1,1277,1261
20,173,1,1517,1242
20,238,0,816,1241
20,442,2,354,1238
26,008,0,1252,1235
20,492,1,3210,1217
20,320,0,723,1211
10,010,1,4265,1201
20,015,0,4712,1194
20,019,2,3071,1182
20,261,1,7244,1175
20,290,4,1012,1168
20,234,2,7554,1160
20,001,2,1084,1160
08,022,0,2911,1159
30,137,0,5484,1156
20,532,0,4076,1155
20,454,1,3180,1155
21,018,3,3734,1150
20,365,0,1307,1135
20,109,2,1233,1134
20,566,0,3034,1123
21,095,2,484,1121
20,352,0,3833,1116
20,502,0,5515,1105
20,346,3,1449,1103
20,120,0,368,1099
20,517,1,5194,1089
20,330,0,4277,1088
20,436,0,1113,1072
20,291,2,4167,1063
20,253,2,2226,1060
10,030,1,1709,1051
20,003,3,2495,1045
20,487,1,1945,1043
20,233,13,1745,1032
21,190,3,1155,1027
26,022,0,958,1025
20,448,0,2009,1024
20,221,3,1340,1024
30,098,5,2920,1020
20,331,2,894,1016
20,457,1,3395,1015
20,564,1,1292,1014
20,501,1,940,1000
20,138,2,460,1000
20,466,0,11917,998
20,122,1,677,992
08,018,0,5414,975
20,241,3,1084,971
20,011,1,1220,970
20,490,0,3076,968
26,044,0,399,967
20,510,1,877,958
