cv_estado,cv_municipio,tortillerias,population,brute_production
23,009,18,28263,3068682
14,121,82,29192,3067776
26,048,21,57342,3039136
26,002,14,79138,3005738
29,028,100,21671,2949505
16,043,58,64011,2910227
03,001,28,70816,2903887
29,042,34,12255,2886047
28,021,88,115792,2879479
11,025,44,68795,2876179
05,034,2,6375,2875225
15,060,303,366602,2818413
30,102,80,101358,2756007
15,010,98,27521,2735830
19,038,20,59113,2720486
30,175,69,89774,2698588
25,015,48,79085,2631698
22,007,25,38123,2624760
24,008,24,21394,2569548
14,005,21,14648,2565921
07,019,171,141013,2533001
15,031,735,614453,2509338
29,013,439,84979,2465788
07,061,86,82059,2427632
21,117,102,14052,2417111
19,044,7,34671,2413761
30,049,3,19710,2364443
19,004,9,32593,2346071
14,013,25,57717,2324950
08,050,19,59337,2294617
10,012,43,141043,2288444
05,033,45,102650,2287392
10,013,14,25137,2277593
16,006,148,123649,2276700
06,010,83,119956,2230636
16,112,246,155534,2219598
27,005,69,192802,2177321
22,005,20,58171,2175269
05,006,12,25892,2159993
17,028,91,63382,2101412
07,108,117,98618,2096438
25,018,99,135603,2065381
05,032,5,41649,2048995
29,006,116,44807,2041625
31,059,37,53958,2041104
31,041,68,78709,2031613
26,003,7,25848,2004561
30,208,22,22907,1977070
10,032,16,44966,1963662
30,068,44,59761,1862555
05,024,15,45401,1857278
21,205,61,22976,1839535
15,092,55,53010,1835501
14,078,21,31166,1815174
15,103,39,46130,1800011
29,039,112,21769,1799503
26,052,3,6020,1795110
14,083,58,69031,1794379
14,006,68,57340,1786942
15,029,131,175053,1776215
29,010,349,66149,1766940
15,042,334,141482,1753889
11,014,174,148173,1752061
25,010,46,97536,1743154
14,015,55,57559,1742923
21,015,228,100964,1741807
30,133,37,55358,1735591
19,049,5,40469,1723149
27,006,28,126416,1672309
06,005,17,27107,1666941
21,019,554,127062,1666056
16,034,278,117620,1653129
14,018,34,64269,1643203
17,029,141,97827,1635276
30,045,47,57366,1627219
01,007,36,49156,1626840
04,004,57,83021,1624365
08,011,18,48748,1618035
30,141,93,157364,1616668
16,076,103,72841,1616569
05,017,48,107160,1605171
21,085,222,72799,1586527
07,040,53,51359,1580381
08,062,10,32325,1560947
26,033,19,79313,1556700
17,031,55,35063,1554638
15,073,39,22152,1554588
14,085,33,37986,1553458
32,026,2,17813,1541143
32,032,10,11493,1537050
08,060,7,10427,1531998
11,041,204,59305,1521202
30,003,99,83817,1520634
20,413,82,38629,1512283
29,048,91,16834,1503657
23,006,26,36179,1490259
24,024,78,91924,1482504
30,173,25,52584,1479903
01,009,10,19668,1477156
32,042,24,61188,1469560
20,043,879,93038,1452734
05,023,4,10991,1447013
24,015,11,21138,1437335
11,042,125,141058,1409242
12,055,115,104053,1405244
31,102,72,74217,1396789
24,048,2,5350,1389405
11,002,85,109030,1379902
30,105,30,59126,1378405
30,082,5,14903,1373260
07,027,64,87603,1371611
30,059,17,15214,1336456
08,045,18,43833,1331182
30,016,22,25500,1321511
29,019,39,18725,1319782
11,021,160,49364,1306656
20,039,154,69839,1301518
30,174,36,94087,1296518
10,026,7,19691,1286684
30,211,16,29277,1286491
15,090,171,77965,1282971
26,036,4,29707,1264641
21,034,102,34596,1262358
30,160,99,104499,1260696
15,110,36,61599,1247916
16,066,107,87794,1236291
14,073,30,65219,1233430
21,149,62,21993,1232489
30,191,21,29005,1216930
31,096,127,73138,1202965
13,028,123,122905,1200729
30,021,21,22986,1197001
15,071,9,13002,1190984
15,091,116,63115,1189251
08,009,13,28766,1185874
17,030,66,46809,1181558
29,059,35,6296,1167636
29,060,18,4436,1164958
14,046,18,31948,1164450
07,106,67,61341,1154078
12,050,51,37035,1145092
17,018,164,108126,1141755
11,028,100,97054,1141084
21,051,83,33935,1140111
22,017,52,63413,1136643
15,108,101,131567,1132152
07,065,59,110918,1130048
11,035,116,79214,1128648
15,120,354,159647,1127986
17,012,83,55115,1117642
19,041,5,20843,1115170
20,390,137,47356,1092550
20,318,96,42860,1075244
08,065,1,20386,1068392
14,108,124,34182,1068051
06,008,6,8174,1043201
21,197,273,75601,1042749
26,019,6,32936,1040129
14,105,15,21871,1036623
18,004,61,70399,1033610
24,058,10,20495,1031708
30,097,23,20141,1028888
20,385,179,77833,1024170
30,128,196,68982,1020197
21,104,78,27292,1016690
