number,stateCode,state,townCode,town,localCode,local
45,13,HIDALGO,012,ATOTONILCO EL GRANDE,0001,ATOTONILCO EL GRANDE
45,19,NUEVO LEÓN   ,031,JUÁREZ,0001,CIUDAD BENITO JUÁREZ
45,21,PUEBLA,034,CORONANGO,0001,SANTA MARÍA CORONANGO
45,21,PUEBLA,186,TLATLAUQUITEPEC,0001,CIUDAD DE TLATLAUQUITEPEC
45,23,QUINTANA ROO,001,COZUMEL,0001,COZUMEL
45,29,TLAXCALA,008,CUAPIAXTLA,0001,CUAPIAXTLA
46,07,CHIAPAS,034,FRONTERA COMALAPA,0001,FRONTERA COMALAPA
46,11,GUANAJUATO,001,ABASOLO,0001,ABASOLO
46,14,JALISCO,093,TEPATITLÁN DE MORELOS,0001,TEPATITLÁN DE MORELOS
46,20,OAXACA,248,SAN MATEO DEL MAR,0001,SAN MATEO DEL MAR
46,29,TLAXCALA,001,AMAXAC DE GUERRERO,0001,AMAXAC DE GUERRERO
47,20,OAXACA,043,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,0002,ÁLVARO OBREGÓN
47,20,OAXACA,298,SAN PABLO VILLA DE MITLA,0001,SAN PABLO VILLA DE MITLA
47,20,OAXACA,551,TLACOLULA DE MATAMOROS,0001,TLACOLULA DE MATAMOROS
47,21,PUEBLA,047,CHIAUTLA,0001,CIUDAD DE CHIAUTLA DE TAPIA
47,21,PUEBLA,149,SANTIAGO MIAHUATLÁN,0001,SANTIAGO MIAHUATLÁN
47,21,PUEBLA,175,TIANGUISMANALCO,0001,TIANGUISMANALCO
47,30,VERACRUZ DE IGNACIO DE LA LLAVE,038,COATEPEC,0001,COATEPEC
47,30,VERACRUZ DE IGNACIO DE LA LLAVE,089,JÁLTIPAN,0001,JÁLTIPAN DE MORELOS
48,15,MÉXICO                      ,019,CAPULHUAC,0001,CAPULHUAC DE MIRAFUENTES
48,15,MÉXICO                      ,042,IXTLAHUACA,0001,IXTLAHUACA DE RAYÓN
48,15,MÉXICO                      ,045,JILOTEPEC,0001,JILOTEPEC DE MOLINA ENRÍQUEZ
48,15,MÉXICO                      ,048,JOCOTITLÁN,0001,CIUDAD DE JOCOTITLÁN
48,15,MÉXICO                      ,062,OCOYOACAC,0001,OCOYOACAC
48,16,MICHOACÁN DE OCAMPO       ,098,TUXPAN,0001,TUXPAN
48,16,MICHOACÁN DE OCAMPO       ,103,VENUSTIANO CARRANZA,0001,VENUSTIANO CARRANZA
48,21,PUEBLA,017,ATEMPAN,0001,ATEMPAN
48,29,TLAXCALA,033,TLAXCALA,0016,SANTA MARÍA ACUITLAPILCO
48,30,VERACRUZ DE IGNACIO DE LA LLAVE,010,ALTOTONGA,0001,ALTOTONGA
48,31,YUCATÁN       ,056,OXKUTZCAB,0001,OXKUTZCAB
49,14,JALISCO,120,ZAPOPAN,0231,TESISTÁN (SAN FRANCISCO TESISTÁN)
49,15,MÉXICO                      ,081,TECÁMAC,0025,SAN MARTÍN AZCATEPEC
49,16,MICHOACÁN DE OCAMPO       ,024,CHERÁN,0001,CHERÁN
49,16,MICHOACÁN DE OCAMPO       ,050,MARAVATÍO,0001,MARAVATÍO DE OCAMPO
49,21,PUEBLA,164,TEPEACA,0001,TEPEACA
49,25,SINALOA,011,GUASAVE,0001,GUASAVE
49,30,VERACRUZ DE IGNACIO DE LA LLAVE,032,CATEMACO,0001,CATEMACO
49,31,YUCATÁN       ,003,AKIL,0001,AKIL
50,11,GUANAJUATO,023,PÉNJAMO,0001,PÉNJAMO
50,13,HIDALGO,061,TEPEAPULCO,0001,TEPEAPULCO
50,20,OAXACA,310,SAN PEDRO IXTLAHUACA,0001,SAN PEDRO IXTLAHUACA
50,21,PUEBLA,054,CHIGNAUTLA,0001,CHIGNAUTLA
50,22,QUERÉTARO                               ,016,SAN JUAN DEL RÍO,0070,LA VALLA
51,13,HIDALGO,013,ATOTONILCO DE TULA,0001,ATOTONILCO DE TULA
51,13,HIDALGO,052,SAN AGUSTÍN TLAXIACA,0001,SAN AGUSTÍN TLAXIACA
51,13,HIDALGO,061,TEPEAPULCO,0002,FRAY BERNARDINO DE SAHAGÚN (CIUDAD SAHAGÚN)
51,15,MÉXICO                      ,096,TEQUIXQUIAC,0001,TEQUIXQUIAC
51,30,VERACRUZ DE IGNACIO DE LA LLAVE,183,TLAPACOYAN,0001,TLAPACOYAN
52,08,CHIHUAHUA,021,DELICIAS,0001,DELICIAS
52,11,GUANAJUATO,009,COMONFORT,0001,COMONFORT
52,12,GUERRERO,032,GENERAL HELIODORO CASTILLO,0001,TLACOTEPEC
52,15,MÉXICO                      ,082,TEJUPILCO,0001,TEJUPILCO DE HIDALGO
52,21,PUEBLA,179,TLACHICHUCA,0001,TLACHICHUCA
52,25,SINALOA,009,ESCUINAPA,0001,ESCUINAPA DE HIDALGO
52,29,TLAXCALA,013,HUAMANTLA,0016,IGNACIO ZARAGOZA
53,07,CHIAPAS,040,HUIXTLA,0001,HUIXTLA
53,15,MÉXICO                      ,074,SAN FELIPE DEL PROGRESO,0001,SAN FELIPE DEL PROGRESO
53,15,MÉXICO                      ,090,TENANGO DEL VALLE,0006,SAN BARTOLOMÉ ATLATLAHUCA
53,15,MÉXICO                      ,115,XONACATLÁN,0001,XONACATLÁN
53,16,MICHOACÁN DE OCAMPO       ,075,LOS REYES,0001,LOS REYES DE SALGADO
53,28,TAMAULIPAS,003,ALTAMIRA,0001,ALTAMIRA
53,31,YUCATÁN       ,102,VALLADOLID,0001,VALLADOLID
54,07,CHIAPAS,012,BERRIOZÁBAL,0001,BERRIOZÁBAL
54,15,MÉXICO                      ,024,CUAUTITLÁN,0001,CUAUTITLÁN
54,16,MICHOACÁN DE OCAMPO       ,043,JACONA,0001,JACONA DE PLANCARTE
54,30,VERACRUZ DE IGNACIO DE LA LLAVE,109,MISANTLA,0001,MISANTLA
55,07,CHIAPAS,057,MOTOZINTLA,0001,MOTOZINTLA DE MENDOZA
55,14,JALISCO,015,AUTLÁN DE NAVARRO,0001,AUTLÁN DE NAVARRO
55,20,OAXACA,334,VILLA DE TUTUTEPEC DE MELCHOR OCAMPO,0034,RÍO GRANDE O PIEDRA PARADA
55,20,OAXACA,349,SAN SEBASTIÁN TEITIPAC,0001,SAN SEBASTIÁN TEITIPAC
55,20,OAXACA,397,HEROICA CIUDAD DE TLAXIACO,0001,HEROICA CIUDAD DE TLAXIACO
